wilaya_code,name_fr,name_ar
01,Adrar,أدرار
02,Chlef,الشلف
03,Laghouat,الأغواط
04,Oum El Bouaghi,أم البواقي
05,Batna,باتنة
06,Bejaia,بجاية
07,Biskra,بسكرة
08,Bechar,بشار
09,Blida,البليدة
10,Bouira,البويرة
11,Tamanrasset,تمنراست
12,Tebessa,تبسة
13,Tlemcen,تلمسان
14,Tiaret,تيارت
15,Tizi Ouzou,تيزي وزو
16,Alger Centre,الجزائر الوسطى
17,Djelfa,الجلفة
18,Jijel,جيجل
19,Setif,سطيف
20,Saida,سعيدة
21,Skikda,سكيكدة
22,Sidi Bel Abbes,سيدي بلعباس
23,Annaba,عنابة
24,Guelma,قالمة
25,Constantine,قسنطينة
26,Medea,المدية
27,Mostaganem,مستغانم
28,M'Sila,المسيلة
29,Mascara,معسكر
30,Ouargla,ورقلة
31,Oran,وهران
32,El Bayadh,البيض
33,Illizi,إليزي
34,Bordj Bou Arreridj,برج بوعريريج
35,Boumerdes,بومرداس
36,El Tarf,الطارف
37,Tindouf,تندوف
38,Tissemsilt,تيسمسيلت
39,El Oued,الوادي
40,Khenchela,خنشلة
41,Souk Ahras,سوق أهراس
42,Tipaza,تيبازة
43,Mila,ميلة
44,Ain Defla,عين الدفلى
45,Naama,النعامة
46,Ain Temouchent,عين تموشنت
47,Ghardaia,غرداية
48,Relizane,غليزان
49,El M'Ghair,المغير
50,El Meniaa,المنيعة
51,Ouled Djellal,أولاد جلال
52,Bordj Baji Mokhtar,برج باجي مختار
53,Beni Abbes,بني عباس
54,Timimoun,تيميمون
55,Touggourt,تقرت
56,Djanet,جانت
57,In Salah,عين صالح
58,In Guezzam,عين قزام
