"title","description","priority","labels","state"
"TC-001 Login FR","FR: Vérifier la connexion email et mot de passe en français et l accès à l accueil. AR: التحقق من تسجيل الدخول بالبريد وكلمة المرور بالفرنسية والوصول إلى الصفحة الرئيسية.","P0","auth,android,web,i18n-fr,i18n-ar","Ready"
"TC-002 Login AR","FR: Vérifier la connexion en arabe avec affichage RTL correct et textes lisibles. AR: التحقق من تسجيل الدخول بالعربية مع اتجاه RTL صحيح ونصوص واضحة.","P0","auth,android,web,i18n-ar","Ready"
"TC-003 Reset Password End to End","FR: Demander la réinitialisation mot de passe depuis l app puis ouvrir le lien email et confirmer un nouveau mot de passe. AR: طلب إعادة تعيين كلمة المرور من التطبيق ثم فتح رابط البريد وتأكيد كلمة مرور جديدة.","P0","auth,web,android","Ready"
"TC-004 Logout Login Session","FR: Se déconnecter puis se reconnecter et vérifier que la session est propre sans erreur. AR: تسجيل الخروج ثم تسجيل الدخول مرة أخرى والتحقق من أن الجلسة نظيفة بدون أخطاء.","P1","auth,android,web","Ready"
"TC-005 Browse Web Desktop Layout","FR: Contrôler la mise en page desktop sur Parcourir Chat Profil Notifications sans éléments géants ni zones blanches. AR: فحص واجهة سطح المكتب في التصفح والدردشة والملف والإشعارات بدون عناصر ضخمة أو فراغات بيضاء.","P0","web,listing,ui-ux","Ready"
"TC-006 Browse Mobile Layout","FR: Contrôler la mise en page mobile et la navigation par onglets sur Android. AR: فحص واجهة الهاتف والتنقل عبر التبويبات على أندرويد.","P0","android,listing,ui-ux","Ready"
"TC-007 Search and Filters","FR: Tester recherche et filtres catégorie prix proximité état livraison puis reset et vérifier cohérence résultats. AR: اختبار البحث والفلاتر للفئة والسعر والقرب والحالة والتوصيل ثم إعادة الضبط والتحقق من تطابق النتائج.","P1","listing,web,android,search","Ready"
"TC-008 Add Product Photos Step","FR: Ajouter des photos dans le flux vendeur et vérifier compteur prévisualisation et bouton Continuer. AR: إضافة صور في مسار البائع والتحقق من العداد والمعاينة وتفعيل زر المتابعة.","P0","listing,android,web,create-product","Ready"
"TC-009 Add Product Category Encoding","FR: Vérifier que les catégories et sous catégories ne contiennent aucun texte encodé cassé en FR et AR. AR: التأكد أن الفئات والفئات الفرعية لا تحتوي نصوص مشوهة بالفرنسية أو العربية.","P0","listing,i18n-fr,i18n-ar,create-product","Ready"
"TC-010 Add Product Details i18n","FR: Vérifier tous les labels et placeholders des étapes détails prix localisation livraison sans clés i18n brutes. AR: فحص كل العناوين والحقول في خطوات التفاصيل والسعر والموقع والتوصيل بدون ظهور مفاتيح ترجمة خام.","P0","listing,i18n-fr,i18n-ar,create-product","Ready"
"TC-011 Delivery Shipping Validation","FR: Contrôler validations métier poids dimensions valeur déclarée options livraison et messages erreur. AR: التحقق من قواعد الوزن والأبعاد والقيمة المصرح بها وخيارات التوصيل ورسائل الخطأ.","P0","shipment,listing,create-product","Ready"
